n_centroids;step_size;cell_size;totalAvg;dataName
100;2;3;0.6293932549780813;2700270
100;2;3;0.5188900631333134;2710271
100;2;5;0.6576116813181622;2700270
100;2;5;0.5373728153341463;2710271
100;2;7;0.6768825553611167;2700270
100;2;7;0.5393683841825472;2710271
100;2;9;0.6850925316991544;2700270
100;2;9;0.5428399067093509;2710271
100;4;3;0.615078329141606;2700270
100;4;3;0.4801119126196397;2710271
100;4;5;0.6472193619864787;2700270
100;4;5;0.5066725609955375;2710271
100;4;7;0.6527241069023412;2700270
100;4;7;0.5283086265398537;2710271
100;4;9;0.6638114945128535;2700270
100;4;9;0.5394018758970011;2710271
100;6;3;0.5915169396786298;2700270
100;6;3;0.44994444689068014;2710271
100;6;5;0.611915138767404;2700270
100;6;5;0.47936942461942883;2710271
100;6;7;0.6378155536498599;2700270
100;6;7;0.5104298486288271;2710271
100;6;9;0.6380377114122804;2700270
100;6;9;0.5078256909254889;2710271
100;8;3;0.5629918763551436;2700270
100;8;3;0.40712161289172966;2710271
100;8;5;0.5883642640294376;2700270
100;8;5;0.43486247088274504;2710271
100;8;7;0.6067409375081244;2700270
100;8;7;0.4482494633880166;2710271
100;8;9;0.6124869130070921;2700270
100;8;9;0.46617554353264556;2710271
150;2;3;0.6512885346625509;2700270
150;2;3;0.5219664831249418;2710271
150;2;5;0.6770904075603125;2700270
150;2;5;0.5443734345386176;2710271
150;2;7;0.6757301234468261;2700270
150;2;7;0.547421554437232;2710271
150;2;9;0.6847696435600812;2700270
150;2;9;0.5476412960678164;2710271
150;4;3;0.6135786471012747;2700270
150;4;3;0.4796117792543934;2710271
150;4;5;0.6358154901269178;2700270
150;4;5;0.5195907193785967;2710271
150;4;7;0.6780650982269958;2700270
150;4;7;0.5224860133551128;2710271
150;4;9;0.6971655759345009;2700270
150;4;9;0.5465131276799406;2710271
150;6;3;0.6124913432108895;2700270
150;6;3;0.4246353191372161;2710271
150;6;5;0.6169975311975672;2700270
150;6;5;0.47511315106037855;2710271
150;6;7;0.6420094541269536;2700270
150;6;7;0.5011764374160459;2710271
150;6;9;0.6651888046306966;2700270
150;6;9;0.5159128834824849;2710271
150;8;3;0.5685877159016501;2700270
150;8;3;0.40874352591547325;2710271
150;8;5;0.5792807958459203;2700270
150;8;5;0.4293767029987026;2710271
150;8;7;0.5935057728729385;2700270
150;8;7;0.4362198898085152;2710271
150;8;9;0.6236758207736959;2700270
150;8;9;0.4448389512397284;2710271
200;2;3;0.6462916678261724;2700270
200;2;3;0.5214137083516067;2710271
200;2;5;0.6732709114876937;2700270
200;2;5;0.559537174921469;2710271
200;2;7;0.6815887071638701;2700270
200;2;7;0.5580494675910908;2710271
200;2;9;0.693514270952326;2700270
200;2;9;0.5452921261096513;2710271
200;4;3;0.6247422647081402;2700270
200;4;3;0.47390102932526795;2710271
200;4;5;0.6587802565195522;2700270
200;4;5;0.5418823488438627;2710271
200;4;7;0.6697677925898494;2700270
200;4;7;0.5270549540648444;2710271
200;4;9;0.6799512533475757;2700270
200;4;9;0.5432903938557431;2710271
200;6;3;0.5876779461291362;2700270
200;6;3;0.4343055829817179;2710271
200;6;5;0.5980493777898758;2700270
200;6;5;0.44891004575782695;2710271
200;6;7;0.659493444940808;2700270
200;6;7;0.5165407850733603;2710271
200;6;9;0.6649419867336397;2700270
200;6;9;0.507409666765785;2710271
200;8;3;0.5434633342721864;2700270
200;8;3;0.4007242029516374;2710271
200;8;5;0.562984678911829;2700270
200;8;5;0.4118770808756756;2710271
200;8;7;0.6057468257303488;2700270
200;8;7;0.4268500503654542;2710271
200;8;9;0.6329557876232408;2700270
200;8;9;0.4795000982997928;2710271
250;2;3;0.6423752099434031;2700270
250;2;3;0.5358321179189816;2710271
250;2;5;0.6710651214429906;2700270
250;2;5;0.5611873292714697;2710271
250;2;7;0.6823227073943021;2700270
250;2;7;0.5613462003918954;2710271
250;2;9;0.6893291059204606;2700270
250;2;9;0.5588964723755317;2710271
250;4;3;0.6293830666775251;2700270
250;4;3;0.4791228410566325;2710271
250;4;5;0.6391192377993551;2700270
250;4;5;0.5165714738842636;2710271
250;4;7;0.6711710874545379;2700270
250;4;7;0.5422987292033145;2710271
250;4;9;0.6711693155653938;2700270
250;4;9;0.5367983669963117;2710271
250;6;3;0.5704354746301086;2700270
250;6;3;0.4333657398172382;2710271
250;6;5;0.6024138078905844;2700270
250;6;5;0.44303067200104795;2710271
250;6;7;0.6417296839971689;2700270
250;6;7;0.48338778062610926;2710271
250;6;9;0.6473717160643851;2700270
250;6;9;0.5132694553792455;2710271
250;8;3;0.5528792262451797;2700270
250;8;3;0.383364092138081;2710271
250;8;5;0.562463078645896;2700270
250;8;5;0.4011973633491089;2710271
250;8;7;0.572168177080326;2700270
250;8;7;0.4291925482041777;2710271
250;8;9;0.6166674030449115;2700270
250;8;9;0.44670348367625623;2710271
