n_centroids;step_size;cell_size;totalAvg;dataName
100;2;3;0.687594734443225;2700270
100;2;3;0.5730259035459706;2710271
100;2;3;0.6870320065423666;2720272
100;2;3;0.6554481256674234;2730273
100;2;3;0.7371438544691841;2740274
100;2;3;0.6162274902519319;2750275
100;2;3;0.5656306657356245;2760276
100;2;3;0.5889907449631103;2770277
100;2;3;0.6817830295177852;2780278
100;2;3;0.642526706612476;2790279
100;2;3;0.7881960663851348;3000300
100;2;3;0.6934471587837302;3010301
100;2;3;0.6610668596936279;3020302
100;2;3;0.6610715519937295;3030303
100;2;3;0.7323840756759381;3040304
100;2;3;0.6851699409678662;3050305
100;2;3;0.6836667229699996;3060306
100;2;3;0.5789416730763277;3070307
100;2;3;0.6566459572554625;3080308
100;2;3;0.6567576269777767;3090309
100;2;5;0.693644702289276;2700270
100;2;5;0.5796844368880454;2710271
100;2;5;0.7003551982812305;2720272
100;2;5;0.681750036326419;2730273
100;2;5;0.7290874307603151;2740274
100;2;5;0.6236010561880249;2750275
100;2;5;0.5702549757520362;2760276
100;2;5;0.6095980659661727;2770277
100;2;5;0.7048783676958724;2780278
100;2;5;0.6525949613701316;2790279
100;2;5;0.786188396819026;3000300
100;2;5;0.7289516261803742;3010301
100;2;5;0.6786050311632073;3020302
100;2;5;0.6625158275940376;3030303
100;2;5;0.7404123709591972;3040304
100;2;5;0.703589984845196;3050305
100;2;5;0.6971314579695833;3060306
100;2;5;0.5785004085419606;3070307
100;2;5;0.6688148729344359;3080308
100;2;5;0.6738396527638836;3090309
100;2;7;0.712311487036692;2700270
100;2;7;0.596170205344033;2710271
100;2;7;0.7089445283274621;2720272
100;2;7;0.6862407408710467;2730273
100;2;7;0.736448705581493;2740274
100;2;7;0.6269184563211642;2750275
100;2;7;0.5927637890285584;2760276
100;2;7;0.608579465398283;2770277
100;2;7;0.7107230518148726;2780278
100;2;7;0.641113699236326;2790279
100;2;7;0.7971988049849045;3000300
100;2;7;0.7432045968277969;3010301
100;2;7;0.7010417961323987;3020302
100;2;7;0.6717559437951144;3030303
100;2;7;0.7362577137965343;3040304
100;2;7;0.6951392164127147;3050305
100;2;7;0.7461472586273746;3060306
100;2;7;0.5849594906017587;3070307
100;2;7;0.6860433547109716;3080308
100;2;7;0.6640150680369143;3090309
100;2;9;0.7130673739662452;2700270
100;2;9;0.5945504949590888;2710271
100;2;9;0.7015450618316815;2720272
100;2;9;0.673653641624332;2730273
100;2;9;0.7488547525971334;2740274
100;2;9;0.6483311678744553;2750275
100;2;9;0.5917043679954093;2760276
100;2;9;0.6270432432595887;2770277
100;2;9;0.7114594116061159;2780278
100;2;9;0.6712149871236299;2790279
100;2;9;0.8028191877469697;3000300
100;2;9;0.7319585379157444;3010301
100;2;9;0.6880587150699503;3020302
100;2;9;0.6610447330841211;3030303
100;2;9;0.7489106761115524;3040304
100;2;9;0.700813220772693;3050305
100;2;9;0.7538388909033162;3060306
100;2;9;0.6079435182519175;3070307
100;2;9;0.690438300158813;3080308
100;2;9;0.6949286118449458;3090309
100;4;3;0.6514043701539417;2700270
100;4;3;0.5419320546223281;2710271
100;4;3;0.650031518240179;2720272
100;4;3;0.6271859136645005;2730273
100;4;3;0.686353584820568;2740274
100;4;3;0.5947722490219831;2750275
100;4;3;0.5469045308074284;2760276
100;4;3;0.5756216855498885;2770277
100;4;3;0.6652725702054826;2780278
100;4;3;0.6173219037160059;2790279
100;4;3;0.7848573192929992;3000300
100;4;3;0.6691256340655182;3010301
100;4;3;0.6092672208108696;3020302
100;4;3;0.6252020069059715;3030303
100;4;3;0.6966079779331061;3040304
100;4;3;0.6674233265889014;3050305
100;4;3;0.661720448842364;3060306
100;4;3;0.5419688156174641;3070307
100;4;3;0.6315900124775997;3080308
100;4;3;0.6032752454359412;3090309
